,PLAYER,GROSS P/W,GROSS P/Y,CONTRACT EXP.,CLUB,AGE,POS BASIC,POS SPECIFIC,NATIONALITY
155,Jordan Siebatcheu,"€ 34,615","€ 1,800,000","Jun 30, 2024",Monchengladbach,27,Reserve,F,United States
156,Alex Kral,"€ 34,423","€ 1,790,000","Jun 30, 2024",Union Berlin,25,Starter,M,Czech Republic
157,Karim Onisiwo,"€ 32,692","€ 1,700,000","Jun 30, 2026",Mainz,31,Starter,F,Austria
158,Rogério,"€ 32,692","€ 1,700,000","Jun 30, 2027",Wolfsburg,25,Reserve,D,Brazil
159,Patrick Herrmann,"€ 32,692","€ 1,700,000","Jun 30, 2024",Monchengladbach,32,Reserve,F,Germany
160,Anthony Caci,"€ 32,308","€ 1,680,000","Jun 30, 2026",Mainz,26,Starter,D,France
161,Leandro Barreiro Martins,"€ 32,308","€ 1,680,000","Jun 30, 2024",Mainz,23,Starter,M,Luxembourg
162,Odilon Kossounou,"€ 31,346","€ 1,630,000","Jun 30, 2026",Bayer Leverkusen,22,Starter,D,Cote d'Ivoire
163,Ilaix Moriba,"€ 31,154","€ 1,620,000","Jun 30, 2026",Leipzig,20,Reserve,M,Guinea
164,Dawid Kownacki,"€ 30,769","€ 1,600,000","Jun 30, 2024",Werder Bremen,26,Reserve,F,Poland
165,Josip Juranovic,"€ 30,769","€ 1,600,000","Jun 30, 2027",Union Berlin,28,Reserve,D,Croatia
166,Vaclav Cerny,"€ 30,769","€ 1,600,000","Jun 30, 2027",Wolfsburg,25,Reserve,F,Czech Republic
167,Robert Andrich,"€ 30,769","€ 1,600,000","Jun 30, 2026",Bayer Leverkusen,28,Reserve,M,Germany
168,Omar Marmoush,"€ 30,769","€ 1,600,000","Jun 30, 2027",Eintracht Frankfurt,24,Starter,F,Egypt
169,Xavi Simons,"€ 30,000","€ 1,560,000","Jun 30, 2024",Leipzig,20,Starter,F,Netherlands
170,Kevin Akpoguma,"€ 28,846","€ 1,500,000","Jun 30, 2026",Hoffenheim,28,Reserve,D,Nigeria
171,Daniel Peretz,"€ 28,846","€ 1,500,000","Jun 30, 2028",Bayern Munich,23,Reserve,K,Israel
172,Genki Haraguchi,"€ 28,846","€ 1,500,000","Jun 30, 2024",Stuttgart,32,Reserve,F,Japan
173,Amin Sarr,"€ 28,846","€ 1,500,000","Jun 30, 2024",Wolfsburg,22,Reserve,F,Sweden
174,Robin Zentner,"€ 28,846","€ 1,500,000","Jun 30, 2025",Mainz,28,Starter,K,Germany
175,Felix Uduokhai,"€ 28,846","€ 1,500,000","Jun 30, 2025",Augsburg,25,Starter,D,Germany
176,Robin Knoche,"€ 28,846","€ 1,500,000","Jun 30, 2024",Union Berlin,31,Starter,D,Germany
177,Janis Blaswich,"€ 28,846","€ 1,500,000","Jun 30, 2026",Leipzig,32,Starter,K,Germany
178,Japhet Tanganga,"€ 28,846","€ 1,500,000","Jun 30, 2024",Augsburg,24,Reserve,D,England
179,Jeffrey Gouweleeuw,"€ 28,846","€ 1,500,000","Jun 30, 2024",Augsburg,32,Starter,D,Netherlands
180,Tiago Tomás,"€ 28,846","€ 1,500,000","Jun 30, 2027",Wolfsburg,21,Starter,F,Portugal
181,Jérôme Roussillon,"€ 28,846","€ 1,500,000","Jun 30, 2024",Union Berlin,30,Reserve,D,Guadeloupe
182,John Anthony Brooks,"€ 28,846","€ 1,500,000","Jun 30, 2024",Hoffenheim,30,Starter,D,United States
183,Jonathan Burkardt,"€ 28,846","€ 1,500,000","Jun 30, 2024",Mainz,23,Reserve,F,Germany
184,Davie Selke,"€ 28,846","€ 1,500,000","Jun 30, 2026",Koln,28,Starter,F,Germany
185,Tuta,"€ 28,846","€ 1,500,000","Jun 30, 2026",Eintracht Frankfurt,24,Starter,D,Brazil
186,Tony Jantschke,"€ 28,846","€ 1,500,000","Jun 30, 2024",Monchengladbach,33,Reserve,D,Germany
187,Niklas Stark,"€ 27,692","€ 1,440,000","Jun 30, 2026",Werder Bremen,28,Starter,D,Germany
188,Makoto Hasebe,"€ 26,923","€ 1,400,000","Jun 30, 2024",Eintracht Frankfurt,39,Reserve,D,Japan
189,Florian Kainz,"€ 26,923","€ 1,400,000","Jun 30, 2025",Koln,30,Starter,F,Austria
190,Moritz Jenz,"€ 26,923","€ 1,400,000","Jun 30, 2027",Wolfsburg,24,Reserve,D,Germany
191,Tom Krauß,"€ 26,923","€ 1,400,000","Jun 30, 2027",Mainz,22,Reserve,M,Germany
192,Elvis Rexhbecaj,"€ 26,538","€ 1,380,000","Jun 30, 2026",Augsburg,25,Starter,M,Germany
193,Sheraldo Becker,"€ 26,538","€ 1,380,000","Jun 30, 2024",Union Berlin,28,Starter,F,Suriname
194,Bartol Franjic,"€ 25,962","€ 1,350,000","Jun 30, 2024",Darmstadt,23,Reserve,M,Croatia
195,Angelo Stiller,"€ 25,000","€ 1,300,000","Jun 30, 2027",Stuttgart,22,Starter,M,Germany
196,Franck Honorat,"€ 24,038","€ 1,250,000","Jun 30, 2028",Monchengladbach,27,Starter,F,France
197,Lys Mousset,"€ 23,654","€ 1,230,000","Jun 30, 2024",Bochum,27,Reserve,F,France
198,Erhan Masovic,"€ 23,077","€ 1,200,000","Jun 30, 2026",Bochum,24,Starter,D,Serbia
199,Bernardo,"€ 23,077","€ 1,200,000","Jun 30, 2025",Bochum,28,Starter,D,Brazil
200,Tim Kleindienst,"€ 23,077","€ 1,200,000","Jun 30, 2027",Heidenheim,28,Starter,F,Germany
201,Jan Thielmann,"€ 23,077","€ 1,200,000","Jun 30, 2026",Koln,21,Reserve,F,Germany
202,Milos Veljkovic,"€ 23,077","€ 1,200,000","Jun 30, 2025",Werder Bremen,27,Reserve,D,Serbia
203,Pavao Pervan,"€ 23,077","€ 1,200,000","Jun 30, 2024",Wolfsburg,35,Reserve,K,Austria
204,Timothy Chandler,"€ 23,077","€ 1,200,000","Jun 30, 2025",Eintracht Frankfurt,33,Reserve,D,United States
205,Christopher Lenz,"€ 23,077","€ 1,200,000","Jun 30, 2024",Leipzig,28,Reserve,D,Germany
206,Andreas Hanche-Olsen,"€ 23,077","€ 1,200,000","Jun 30, 2026",Mainz,26,Reserve,D,Norway
207,Deniz Undav,"€ 23,077","€ 1,200,000","Jun 30, 2024",Stuttgart,27,Reserve,F,Germany
208,András Schäfer,"€ 23,077","€ 1,200,000","Jun 30, 2024",Union Berlin,24,Reserve,M,Hungary
209,Joe Scally,"€ 23,077","€ 1,200,000","Jun 30, 2027",Monchengladbach,20,Starter,D,United States
210,Marvin Schwäbe,"€ 23,077","€ 1,200,000","Jun 30, 2027",Koln,28,Starter,K,Germany
211,Frederik Rönnow,"€ 23,077","€ 1,200,000","Jun 30, 2024",Union Berlin,31,Starter,K,Denmark
212,Stanley Nsoki,"€ 23,077","€ 1,200,000","Jun 30, 2027",Hoffenheim,24,Reserve,D,France
213,Nicolas Cozza,"€ 22,115","€ 1,150,000","Jun 30, 2027",Wolfsburg,24,Reserve,D,France
214,Jakub Kaminski,"€ 22,115","€ 1,150,000","Jun 30, 2027",Wolfsburg,21,Reserve,F,Poland
215,Anthony Jung,"€ 22,115","€ 1,150,000","Jun 30, 2024",Werder Bremen,31,Starter,D,Germany
216,Michael Gregoritsch,"€ 21,923","€ 1,140,000","Jun 30, 2024",Freiburg,29,Reserve,F,Austria
217,Amine Adli,"€ 21,923","€ 1,140,000","Jun 30, 2026",Bayer Leverkusen,23,Reserve,F,Morocco
218,Ermedin Demirovic,"€ 21,923","€ 1,140,000","Jun 30, 2026",Augsburg,25,Starter,F,Bosnia-Herzegovina
219,Silas Wamangituka,"€ 21,923","€ 1,140,000","Jun 30, 2026",Stuttgart,24,Starter,F,Democratic Republic of the Congo
220,Timo Hübers,"€ 21,731","€ 1,130,000","Jun 30, 2026",Koln,27,Starter,D,Germany
221,Fabian Bredlow,"€ 21,731","€ 1,130,000","Jun 30, 2026",Stuttgart,28,Reserve,K,Germany
222,Senne Lynen,"€ 21,154","€ 1,100,000","Jun 30, 2024",Werder Bremen,24,Starter,M,Belgium
223,Kevin Müller,"€ 21,154","€ 1,100,000","Jun 30, 2025",Heidenheim,32,Starter,K,Germany
224,Janik Haberer,"€ 20,769","€ 1,080,000","Jun 30, 2025",Union Berlin,29,Reserve,M,Germany
225,Kristijan Jakic,"€ 20,000","€ 1,040,000","Jun 30, 2026",Eintracht Frankfurt,26,Reserve,M,Croatia
226,Nathan N'Goumou,"€ 20,000","€ 1,040,000","Jun 30, 2027",Monchengladbach,23,Reserve,F,France
227,Christian Günter,"€ 19,615","€ 1,020,000","Jun 30, 2024",Freiburg,30,Reserve,D,Germany
228,Jamie Leweling,"€ 19,615","€ 1,020,000","Jun 30, 2024",Stuttgart,22,Reserve,F,Germany
229,Felix Passlack,"€ 19,231","€ 1,000,000","Jun 30, 2025",Bochum,25,Starter,D,Germany
230,Iago,"€ 19,231","€ 1,000,000","Jun 30, 2024",Augsburg,26,Starter,D,Brazil
231,Dominique Heintz,"€ 19,231","€ 1,000,000","Jun 30, 2024",Koln,30,Reserve,D,Germany
232,Tomas Koubek,"€ 19,231","€ 1,000,000","Jun 30, 2024",Augsburg,31,Reserve,K,Czech Republic
233,Cédric Zesiger,"€ 19,231","€ 1,000,000","Jun 30, 2027",Wolfsburg,25,Starter,D,Switzerland
234,Arne Maier,"€ 19,231","€ 1,000,000","Jun 30, 2025",Augsburg,24,Reserve,M,Germany
235,Maximilian Beier,"€ 19,231","€ 1,000,000","Jun 30, 2027",Hoffenheim,20,Starter,F,Germany
236,Maximilian Mittelstädt,"€ 19,231","€ 1,000,000","Jun 30, 2026",Stuttgart,26,Reserve,D,Germany
237,Mateu Morey Bauzà,"€ 18,846","€ 980,000","Jun 30, 2024",Borussia Dortmund,23,Reserve,D,Spain
238,Kasim Adams,"€ 18,846","€ 980,000","Jun 30, 2024",Hoffenheim,28,Reserve,D,Ghana
239,Danny da Costa,"€ 18,462","€ 960,000","Jun 30, 2025",Mainz,30,Starter,D,Germany
240,Maximilian Eggestein,"€ 18,462","€ 960,000","Jun 30, 2025",Freiburg,26,Starter,M,Germany
241,Maxim Leitsch,"€ 18,462","€ 960,000","Jun 30, 2026",Mainz,25,Reserve,D,Germany
242,Niklas Dorsch,"€ 18,269","€ 950,000","Jun 30, 2026",Augsburg,25,Starter,M,Germany
243,Vincenzo Grifo,"€ 18,269","€ 950,000","Jun 30, 2024",Freiburg,30,Starter,F,Italy
244,Josha Vagnoman,"€ 18,077","€ 940,000","Jun 30, 2026",Stuttgart,22,Reserve,D,Germany
245,Timothy Fosu-Mensah,"€ 17,308","€ 900,000","Jun 30, 2024",Bayer Leverkusen,25,Reserve,D,Netherlands
246,Nicolas Höfler,"€ 17,308","€ 900,000","Jun 30, 2024",Freiburg,33,Starter,M,Germany
247,Benno Schmitz,"€ 17,308","€ 900,000","Jun 30, 2024",Koln,28,Starter,D,Germany
248,Kevin Paredes,"€ 17,308","€ 900,000","Jun 30, 2026",Wolfsburg,20,Reserve,M,United States
249,Alexander Schwolow,"€ 17,308","€ 900,000","Jun 30, 2024",Union Berlin,31,Reserve,K,Germany
250,Christopher Trimmel,"€ 17,308","€ 900,000","Jun 30, 2024",Union Berlin,36,Starter,D,Austria
251,Phillipp Mwene,"€ 17,308","€ 900,000","Jun 30, 2026",Mainz,29,Reserve,D,Austria
252,Kilian Fischer,"€ 16,731","€ 870,000","Jun 30, 2027",Wolfsburg,22,Reserve,D,Germany
253,Rubén Vargas,"€ 16,346","€ 850,000","Jun 30, 2025",Augsburg,25,Starter,F,Switzerland
254,Leart Paqarada,"€ 16,346","€ 850,000","Jun 30, 2026",Koln,28,Starter,D,Kosovo
255,Rani Khedira,"€ 16,346","€ 850,000","Jun 30, 2024",Union Berlin,29,Reserve,M,Germany
256,Finn Dahmen,"€ 16,154","€ 840,000","Jun 30, 2026",Augsburg,25,Starter,K,Germany
257,Ritsu Doan,"€ 16,154","€ 840,000","Jun 30, 2024",Freiburg,25,Starter,F,Japan
258,Aïssa Laïdouni,"€ 16,154","€ 840,000","Jun 30, 2024",Union Berlin,26,Starter,M,Tunisia
259,Grischa Prömel,"€ 16,154","€ 840,000","Jun 30, 2026",Hoffenheim,28,Starter,M,Germany
260,Aymen Barkok,"€ 16,154","€ 840,000","Jun 30, 2025",Mainz,25,Reserve,M,Morocco
261,Manuel Riemann,"€ 16,154","€ 840,000","Jun 30, 2025",Bochum,34,Starter,K,Germany
262,Dejan Ljubicic,"€ 16,154","€ 840,000","Jun 30, 2025",Koln,25,Starter,M,Austria
263,Woo-yeong Jeong,"€ 15,385","€ 800,000","Jun 30, 2026",Stuttgart,23,Reserve,F,South Korea
264,Farès Chaïbi,"€ 15,385","€ 800,000","Jun 30, 2028",Eintracht Frankfurt,20,Starter,F,Algeria
265,Klaus Gjasula,"€ 15,385","€ 800,000","Jun 30, 2024",Darmstadt,33,Reserve,M,Albania
266,Reece Oxford,"€ 15,385","€ 800,000","Jun 30, 2025",Augsburg,24,Reserve,D,England
267,Tomas Cvancara,"€ 15,385","€ 800,000","Jun 30, 2028",Monchengladbach,23,Starter,F,Czech Republic
268,Maximilian Wittek,"€ 15,385","€ 800,000","Jun 30, 2026",Bochum,28,Starter,D,Germany
269,Mads Pedersen,"€ 15,385","€ 800,000","Jun 30, 2027",Augsburg,27,Reserve,D,Denmark
270,Marco Richter,"€ 15,385","€ 800,000","Jun 30, 2027",Mainz,25,Reserve,F,Germany
271,Willian Pacho,"€ 15,385","€ 800,000","Jun 30, 2028",Eintracht Frankfurt,21,Starter,D,Ecuador
272,Tobias Kempe,"€ 15,000","€ 780,000","Jun 30, 2025",Darmstadt,34,Starter,M,Germany
273,Christian Groß,"€ 15,000","€ 780,000","Jun 30, 2024",Werder Bremen,34,Starter,M,Germany
274,Marvin Pieringer,"€ 15,000","€ 780,000","Jun 30, 2027",Heidenheim,23,Starter,F,Germany
275,Christoph Zimmermann,"€ 15,000","€ 780,000","Jun 30, 2025",Darmstadt,30,Reserve,D,Germany
276,Philipp Hofmann,"€ 15,000","€ 780,000","Jun 30, 2026",Bochum,30,Starter,F,Germany
277,Dion Beljo,"€ 14,615","€ 760,000","Jun 30, 2027",Augsburg,21,Reserve,F,Croatia
278,Gil Dias,"€ 14,615","€ 760,000","Jun 30, 2025",Stuttgart,26,Reserve,F,Portugal
279,Olivier Deman,"€ 14,423","€ 750,000","Jun 30, 2024",Werder Bremen,23,Reserve,M,Belgium
280,Matej Kovar,"€ 14,423","€ 750,000","Jun 30, 2027",Bayer Leverkusen,23,Reserve,K,Czech Republic
281,Marcel Schuhen,"€ 14,423","€ 750,000","Jun 30, 2025",Darmstadt,30,Starter,K,Germany
282,Hugo Larsson,"€ 14,423","€ 750,000","Jun 30, 2028",Eintracht Frankfurt,19,Starter,M,Sweden
283,Waldemar Anton,"€ 14,423","€ 750,000","Jun 30, 2025",Stuttgart,27,Starter,D,Germany
284,Phillip Tietz,"€ 14,423","€ 750,000","Jun 30, 2027",Augsburg,26,Starter,F,Germany
285,Marnon Busch,"€ 14,423","€ 750,000","Jun 30, 2027",Heidenheim,28,Reserve,D,Germany
286,Éric Ebimbe,"€ 13,846","€ 720,000","Jun 30, 2027",Eintracht Frankfurt,22,Starter,M,France
287,Roland Sallai,"€ 13,846","€ 720,000","Jun 30, 2025",Freiburg,26,Starter,F,Hungary
288,Denis Thomalla,"€ 13,846","€ 720,000","Jun 30, 2025",Heidenheim,31,Reserve,F,Germany
289,Kevin Behrens,"€ 13,846","€ 720,000","Jun 30, 2024",Union Berlin,32,Starter,F,Germany
290,Julian Chabot,"€ 13,846","€ 720,000","Jun 30, 2026",Koln,25,Starter,D,Germany
291,Rocco Reitz,"€ 13,846","€ 720,000","Jun 30, 2026",Monchengladbach,21,Starter,M,Germany
292,Gonçalo Paciência,"€ 13,846","€ 720,000","Jun 30, 2024",Bochum,29,Reserve,F,Portugal
293,Arthur,"€ 13,846","€ 720,000","Jun 30, 2028",Bayer Leverkusen,20,Reserve,D,Brazil
294,Marco Friedl,"€ 13,846","€ 720,000","Jun 30, 2026",Werder Bremen,25,Starter,D,Austria
295,Kevin Stöger,"€ 13,846","€ 720,000","Jun 30, 2024",Bochum,30,Starter,F,Austria
296,Fabian Holland,"€ 13,846","€ 720,000","Jun 30, 2025",Darmstadt,33,Starter,D,Germany
297,Pascal Stenzel,"€ 13,654","€ 710,000","Jun 30, 2024",Stuttgart,27,Starter,D,Germany
298,Matthias Bader,"€ 13,462","€ 700,000","Jun 30, 2025",Darmstadt,26,Starter,D,Germany
299,Jessic Ngankam,"€ 13,462","€ 700,000","Jun 30, 2028",Eintracht Frankfurt,23,Reserve,F,Germany
300,Junior Adamu,"€ 13,462","€ 700,000","Jun 30, 2024",Freiburg,22,Reserve,F,Austria
