,PLAYER,GROSS P/W,GROSS P/Y,CONTRACT EXP.,CLUB,AGE,POS BASIC,POS SPECIFIC,NATIONALITY
334,Ansgar Knauff,"€ 10,385","€ 540,000","Jun 30, 2028",Eintracht Frankfurt,21,Reserve,M,Germany
335,Lucas Höler,"€ 10,000","€ 520,000","Jun 30, 2024",Freiburg,29,Starter,F,Germany
336,Jonas Föhrenbach,"€ 10,000","€ 520,000","Jun 30, 2027",Heidenheim,27,Starter,D,Germany
337,Patrick Osterhage,"€ 10,000","€ 520,000","Jun 30, 2026",Bochum,23,Reserve,M,Germany
338,Matej Maglica,"€ 9,615","€ 500,000","Jun 30, 2024",Darmstadt,24,Starter,D,Croatia
339,Tim Breithaupt,"€ 9,615","€ 500,000","Jun 30, 2028",Augsburg,21,Reserve,M,Germany
340,Benedict Hollerbach,"€ 9,615","€ 500,000","Jun 30, 2024",Union Berlin,22,Reserve,F,Germany
341,Benedikt Gimber,"€ 9,615","€ 500,000","Jun 30, 2025",Heidenheim,26,Reserve,M,Germany
342,Lukas Daschner,"€ 9,615","€ 500,000","Jun 30, 2026",Bochum,24,Reserve,F,Germany
343,Florian Müller,"€ 9,615","€ 500,000","Jun 30, 2024",Freiburg,25,Reserve,K,Germany
344,Fabian Nürnberger,"€ 9,615","€ 500,000","Jun 30, 2026",Darmstadt,24,Starter,M,Germany
345,Grant-Leon Ranos,"€ 9,615","€ 500,000","Jun 30, 2027",Monchengladbach,20,Reserve,F,Armenia
346,Leopold Zingerle,"€ 9,615","€ 500,000","Jun 30, 2024",Leipzig,29,Reserve,K,Germany
347,Patrick Mainka,"€ 9,423","€ 490,000","Jun 30, 2024",Heidenheim,28,Starter,D,Germany
348,Faride Alidou,"€ 9,231","€ 480,000","Jun 30, 2024",Koln,22,Reserve,F,Germany
349,Aurélio Buta,"€ 9,231","€ 480,000","Jun 30, 2026",Eintracht Frankfurt,26,Starter,D,Portugal
350,Dzenan Pejcinovic,"€ 9,231","€ 480,000","Jun 30, 2027",Wolfsburg,18,Reserve,F,Germany
351,Jan Schöppner,"€ 9,231","€ 480,000","Jun 30, 2025",Heidenheim,24,Reserve,M,Germany
352,Manuel Gulde,"€ 9,231","€ 480,000","Jun 30, 2024",Freiburg,32,Reserve,D,Germany
353,Oscar Vilhelmsson,"€ 9,231","€ 480,000","Jun 30, 2026",Darmstadt,19,Reserve,F,Sweden
354,Atakan Karazor,"€ 9,038","€ 470,000","Jun 30, 2026",Stuttgart,26,Starter,M,Germany
355,Fraser Hornby,"€ 8,846","€ 460,000","Jun 30, 2027",Darmstadt,23,Reserve,F,Scotland
356,Takuma Asano,"€ 8,654","€ 450,000","Jun 30, 2024",Bochum,28,Starter,F,Japan
357,Jacob Christensen,"€ 8,654","€ 450,000","Jun 30, 2026",Koln,22,Reserve,M,Denmark
358,Filip Stojilkovic,"€ 8,654","€ 450,000","Jun 30, 2027",Darmstadt,23,Reserve,F,Switzerland
359,Moritz-Broni Kwarteng,"€ 8,654","€ 450,000","Jun 30, 2027",Bochum,25,Reserve,F,Germany
360,Danilo Soares,"€ 8,269","€ 430,000","Jun 30, 2024",Bochum,31,Reserve,D,Brazil
361,Tim Skarke,"€ 8,077","€ 420,000","Jun 30, 2024",Darmstadt,26,Starter,F,Germany
362,Paul Jaeckel,"€ 8,077","€ 420,000","Jun 30, 2024",Union Berlin,25,Reserve,D,Germany
363,Jakob Busk,"€ 8,077","€ 420,000","Jun 30, 2024",Union Berlin,29,Reserve,K,Denmark
364,Norman Theuerkauf,"€ 8,077","€ 420,000","Jun 30, 2024",Heidenheim,36,Starter,M,Germany
365,Nikola Dovedan,"€ 8,077","€ 420,000","Jun 30, 2024",Heidenheim,29,Reserve,F,Austria
366,Jovan Milosevic,"€ 7,692","€ 400,000","Jun 30, 2027",Stuttgart,18,Reserve,F,Serbia
367,Lukas Ullrich,"€ 7,692","€ 400,000","Jun 30, 2027",Monchengladbach,19,Reserve,D,Germany
368,Jordi Osei-Tutu,"€ 7,500","€ 390,000","Jun 30, 2025",Bochum,24,Reserve,D,England
369,Lukas Kübler,"€ 7,500","€ 390,000","Jun 30, 2024",Freiburg,31,Starter,D,Germany
370,Fabian Schnellhardt,"€ 7,308","€ 380,000","Jun 30, 2024",Darmstadt,29,Reserve,M,Germany
371,Chris Führich,"€ 7,308","€ 380,000","Jun 30, 2025",Stuttgart,25,Starter,F,Germany
372,Noah Loosli,"€ 7,115","€ 370,000","Jun 30, 2026",Bochum,26,Reserve,D,Switzerland
373,Luca Kilian,"€ 6,923","€ 360,000","Jun 30, 2025",Koln,24,Reserve,D,Germany
374,Florian Dietz,"€ 6,923","€ 360,000","Jun 30, 2025",Koln,25,Reserve,F,Germany
375,Romano Schmid,"€ 6,923","€ 360,000","Jun 30, 2025",Werder Bremen,23,Starter,F,Austria
376,Jan Olschowsky,"€ 6,923","€ 360,000","Jun 30, 2027",Monchengladbach,21,Reserve,K,Germany
377,Finn Ole Becker,"€ 6,923","€ 360,000","Jun 30, 2026",Hoffenheim,23,Reserve,M,Germany
378,Laurin Ulrich,"€ 6,923","€ 360,000","Jun 30, 2026",Stuttgart,18,Reserve,F,Germany
379,Daniel-Kofi Kyereh,"€ 6,923","€ 360,000","Jun 30, 2024",Freiburg,27,Reserve,F,Ghana
380,Nelson Weiper,"€ 6,923","€ 360,000","Jun 30, 2025",Mainz,18,Reserve,F,Germany
381,Yvandro Borges Sanches,"€ 6,923","€ 360,000","Jun 30, 2025",Monchengladbach,19,Reserve,F,Luxembourg
382,Linton Maina,"€ 6,923","€ 360,000","Jun 30, 2025",Koln,24,Reserve,F,Germany
383,Kauã Santos,"€ 6,731","€ 350,000","Jun 30, 2028",Eintracht Frankfurt,20,Reserve,K,Brazil
384,Jens Grahl,"€ 6,731","€ 350,000","Jun 30, 2026",Eintracht Frankfurt,34,Reserve,K,Germany
385,Nacho Ferri,"€ 6,731","€ 350,000","Jun 30, 2026",Eintracht Frankfurt,18,Reserve,F,Spain
386,Simon Walde,"€ 6,538","€ 340,000","Jun 30, 2026",Monchengladbach,18,Reserve,D,Germany
387,Diogo Leite,"€ 6,538","€ 340,000","Jun 30, 2024",Union Berlin,24,Starter,D,Portugal
388,Thomas Kastanaras,"€ 6,346","€ 330,000","Jun 30, 2025",Stuttgart,20,Reserve,F,Germany
389,Michael Esser,"€ 6,346","€ 330,000","Jun 30, 2024",Bochum,35,Reserve,K,Germany
390,Mathias Honsak,"€ 6,346","€ 330,000","Jun 30, 2024",Darmstadt,26,Reserve,F,Austria
391,Kiliann Sildillia,"€ 6,154","€ 320,000","Jun 30, 2026",Freiburg,21,Starter,D,France
392,Andreas Müller,"€ 6,154","€ 320,000","Jun 30, 2026",Darmstadt,23,Reserve,M,Germany
393,Marcel Wenig,"€ 5,769","€ 300,000","Jun 30, 2025",Eintracht Frankfurt,19,Reserve,M,Germany
394,Omar-Haktab Traoré,"€ 5,769","€ 300,000","Jun 30, 2026",Heidenheim,25,Starter,D,Germany
395,Enzo Millot,"€ 5,769","€ 300,000","Jun 30, 2025",Stuttgart,21,Starter,M,France
396,Stefan Schimmer,"€ 5,769","€ 300,000","Jun 30, 2026",Heidenheim,29,Reserve,F,Germany
397,Maximilian Bauer,"€ 5,769","€ 300,000","Jun 30, 2027",Augsburg,23,Reserve,D,Germany
398,Rasmus Carstensen,"€ 5,769","€ 300,000","Jun 30, 2024",Koln,22,Starter,D,Denmark
399,Niklas Klinger,"€ 5,769","€ 300,000","Jun 30, 2025",Wolfsburg,27,Reserve,K,Germany
400,Clemens Riedel,"€ 5,769","€ 300,000","Jun 30, 2026",Darmstadt,20,Reserve,D,Germany
401,Christopher Antwi-Adjei,"€ 5,769","€ 300,000","Jun 30, 2024",Bochum,29,Reserve,F,Ghana
402,Marvin Mehlem,"€ 5,577","€ 290,000","Jun 30, 2025",Darmstadt,25,Starter,F,Germany
403,Jan-Niklas Beste,"€ 5,577","€ 290,000","Jun 30, 2025",Heidenheim,24,Starter,F,Germany
404,Fabio Chiarodia,"€ 5,385","€ 280,000","Jun 30, 2027",Monchengladbach,18,Reserve,D,Italy
405,Christian Kühlwetter,"€ 5,385","€ 280,000","Jun 30, 2024",Heidenheim,27,Reserve,F,Germany
406,Noah Mbamba,"€ 5,385","€ 280,000","Jun 30, 2028",Bayer Leverkusen,18,Reserve,M,Belgium
407,David Colina,"€ 5,385","€ 280,000","Jun 30, 2027",Augsburg,23,Reserve,D,Croatia
408,Niklas Lomb,"€ 5,192","€ 270,000","Jun 30, 2024",Bayer Leverkusen,30,Reserve,K,Germany
409,Florian Pick,"€ 5,192","€ 270,000","Jun 30, 2024",Heidenheim,27,Reserve,F,Germany
410,Eric Martel,"€ 5,192","€ 270,000","Jun 30, 2026",Koln,21,Starter,M,Germany
411,Vitus Eicher,"€ 5,192","€ 270,000","Jun 30, 2025",Heidenheim,32,Reserve,K,Germany
412,Eren Dinkci,"€ 5,192","€ 270,000","Jun 30, 2024",Heidenheim,21,Starter,F,Germany
413,Tim Oermann,"€ 5,192","€ 270,000","Jun 30, 2026",Bochum,19,Reserve,D,Germany
414,Ole Pohlmann,"€ 4,808","€ 250,000","Jun 30, 2025",Borussia Dortmund,22,Reserve,M,Germany
415,Justin Njinmah,"€ 4,808","€ 250,000","Jun 30, 2024",Werder Bremen,22,Reserve,F,Germany
416,Robert Gumny,"€ 4,808","€ 250,000","Jun 30, 2025",Augsburg,25,Reserve,D,Poland
417,Mathias Olesen,"€ 4,615","€ 240,000","Jun 30, 2025",Koln,22,Reserve,M,Luxembourg
418,Paxten Aaronson,"€ 4,615","€ 240,000","Jun 30, 2027",Eintracht Frankfurt,20,Reserve,F,United States
419,Lasse Rieß,"€ 4,615","€ 240,000","Jun 30, 2025",Mainz,22,Reserve,K,Germany
420,Denis Huseinbasic,"€ 4,615","€ 240,000","Jun 30, 2025",Koln,22,Reserve,M,Germany
421,Marcel Lotka,"€ 4,615","€ 240,000","Jun 30, 2025",Borussia Dortmund,22,Reserve,K,Germany
422,Julien Duranville,"€ 4,615","€ 240,000","Jun 30, 2024",Borussia Dortmund,17,Reserve,F,Belgium
423,Alexander Brunst,"€ 4,615","€ 240,000","Jun 30, 2024",Darmstadt,28,Reserve,K,Germany
424,Gustavo Puerta,"€ 4,615","€ 240,000","Jun 30, 2028",Bayer Leverkusen,20,Reserve,M,Colombia
425,Daniel Batz,"€ 4,231","€ 220,000","Jun 30, 2025",Mainz,32,Reserve,K,Germany
426,Jonas Nickisch,"€ 3,846","€ 200,000","Jun 30, 2025",Koln,19,Reserve,K,Germany
427,Leonidas Stergiou,"€ 3,654","€ 190,000","Jun 30, 2024",Stuttgart,21,Reserve,D,Switzerland
428,Roberto Massimo,"€ 3,654","€ 190,000","Jun 30, 2024",Stuttgart,22,Reserve,M,Germany
429,Nick Woltemade,"€ 3,654","€ 190,000","Jun 30, 2024",Werder Bremen,21,Reserve,F,Germany
430,Philipp Pentke,"€ 3,462","€ 180,000","Jun 30, 2024",Koln,38,Reserve,K,Germany
431,Abdoulaye Kamara,"€ 3,462","€ 180,000","Jun 30, 2025",Borussia Dortmund,18,Reserve,M,France
432,Luca Philipp,"€ 3,462","€ 180,000","Jun 30, 2024",Hoffenheim,22,Reserve,K,Germany
433,Adrian Beck,"€ 3,462","€ 180,000","Jun 30, 2025",Heidenheim,26,Reserve,F,Germany
434,Niclas Thiede,"€ 3,462","€ 180,000","Jun 30, 2027",Bochum,24,Reserve,K,Germany
435,Antonios Papadopoulos,"€ 3,462","€ 180,000","Jun 30, 2024",Borussia Dortmund,23,Reserve,D,Germany
436,Michael Zetterer,"€ 3,462","€ 180,000","Jun 30, 2025",Werder Bremen,28,Reserve,K,Germany
437,Emir Karic,"€ 3,269","€ 170,000","Jun 30, 2024",Darmstadt,26,Starter,D,Austria
438,Ayman Aourir,"€ 3,077","€ 160,000","Jun 30, 2025",Bayer Leverkusen,18,Reserve,F,Germany
439,Davis Bautista,"€ 3,077","€ 160,000","Jun 30, 2028",Eintracht Frankfurt,18,Reserve,D,Ecuador
440,Jordy Makengo,"€ 3,077","€ 160,000","Jun 30, 2025",Freiburg,22,Reserve,D,France
441,Eduardo Dos Santos Haesler,"€ 2,885","€ 150,000","Jun 30, 2024",Werder Bremen,24,Reserve,K,Germany
442,Nnamdi Collins,"€ 2,885","€ 150,000","Jun 30, 2028",Eintracht Frankfurt,19,Reserve,D,Germany
443,Paul Tschernuth,"€ 2,885","€ 150,000","Jun 30, 2025",Heidenheim,21,Reserve,K,Austria
444,Philipp Schulz,"€ 2,885","€ 150,000","Jun 30, 2025",Mainz,18,Reserve,D,Germany
445,Philipp Schulze,"€ 2,885","€ 150,000","Jun 30, 2026",Wolfsburg,20,Reserve,K,Germany
446,Hrvoje Smolcic,"€ 2,885","€ 150,000","Jun 30, 2027",Eintracht Frankfurt,23,Reserve,D,Croatia
447,Sidney Raebiger,"€ 2,885","€ 150,000","Jun 30, 2024",Eintracht Frankfurt,18,Reserve,M,Germany
448,Simon Simoni,"€ 2,885","€ 150,000","Jun 30, 2027",Eintracht Frankfurt,19,Reserve,K,Albania
449,Eniss Shabani,"€ 2,885","€ 150,000","Jun 30, 2025",Mainz,20,Reserve,M,Germany
450,Elidon Qenaj,"€ 2,885","€ 150,000","Jun 30, 2024",Heidenheim,20,Reserve,F,Kosovo
451,Elias Bakatukanda,"€ 2,885","€ 150,000","Jun 30, 2026",Koln,19,Reserve,D,Germany
452,Tarek Buchmann,"€ 2,885","€ 150,000","Jun 30, 2026",Bayern Munich,18,Reserve,D,Germany
453,Thomas Keller,"€ 2,885","€ 150,000","Jun 30, 2025",Heidenheim,24,Reserve,D,Germany
454,Tom Hülsmann,"€ 2,885","€ 150,000","Jun 30, 2026",Bayern Munich,19,Reserve,K,Germany
455,Ulysses Llanez,"€ 2,885","€ 150,000","Jun 30, 2024",Wolfsburg,22,Reserve,F,United States
456,Umut Tohumcu,"€ 2,885","€ 150,000","Jun 30, 2026",Hoffenheim,19,Reserve,M,Germany
457,Aljoscha Kemlein,"€ 2,885","€ 150,000","Jun 30, 2024",Union Berlin,19,Reserve,M,Germany
458,Maximilian Brüll,"€ 2,692","€ 140,000","Jun 30, 2025",Monchengladbach,21,Reserve,K,Germany
459,Morten Behrens,"€ 2,692","€ 140,000","Jun 30, 2024",Darmstadt,26,Reserve,K,Germany
460,Leon Opitz,"€ 2,692","€ 140,000","Jun 30, 2025",Werder Bremen,18,Reserve,F,Germany
461,Damion Downs,"€ 2,500","€ 130,000","Jun 30, 2024",Koln,19,Reserve,F,Germany
462,Jannik Müller,"€ 2,500","€ 130,000","Jun 30, 2024",Darmstadt,29,Reserve,D,Germany
463,Noel Futkeu,"€ 2,500","€ 130,000","Jun 30, 2026",Eintracht Frankfurt,20,Reserve,F,Germany
464,Dario Gebuhr,"€ 2,500","€ 130,000","Jun 30, 2025",Eintracht Frankfurt,20,Reserve,D,Germany
465,Max Rosenfelder,"€ 2,500","€ 130,000","Jun 30, 2024",Freiburg,20,Reserve,D,Germany
466,Nahuel Noll,"€ 2,308","€ 120,000","Jun 30, 2025",Hoffenheim,20,Reserve,K,Germany
467,Moritz Broschinski,"€ 2,308","€ 120,000","Jun 30, 2026",Bochum,22,Reserve,F,Germany
468,Thomas Isherwood,"€ 2,308","€ 120,000","Jun 30, 2024",Darmstadt,25,Reserve,D,Sweden
469,Lilian Egloff,"€ 2,308","€ 120,000","Jun 30, 2024",Stuttgart,21,Reserve,F,Germany
470,Yannic Stein,"€ 2,308","€ 120,000","Jun 30, 2024",Union Berlin,18,Reserve,K,Germany
471,Moritz Römling,"€ 2,308","€ 120,000","Jun 30, 2024",Bochum,22,Reserve,D,Germany
472,Luka Janes,"€ 2,308","€ 120,000","Jun 30, 2025",Heidenheim,19,Reserve,M,Germany
473,Dennis Seimen,"€ 2,308","€ 120,000","Jun 30, 2027",Stuttgart,17,Reserve,K,Germany
474,Madi Monamay,"€ 2,308","€ 120,000","Jun 30, 2025",Bayer Leverkusen,17,Reserve,D,Belgium
475,Marcel Lubik,"€ 2,308","€ 120,000","Jun 30, 2026",Augsburg,19,Reserve,K,Poland
476,Marco John,"€ 2,308","€ 120,000","Jun 30, 2025",Hoffenheim,21,Reserve,D,Germany
477,Timo Schlieck,"€ 2,308","€ 120,000","Jun 30, 2025",Leipzig,17,Reserve,K,Germany
478,Noah Weißhaupt,"€ 2,308","€ 120,000","Jun 30, 2024",Freiburg,21,Reserve,F,Germany
479,Noah Katterbach,"€ 2,308","€ 120,000","Jun 30, 2024",Koln,22,Reserve,D,Germany
480,Tim Siersleben,"€ 2,308","€ 120,000","Jun 30, 2026",Heidenheim,23,Starter,D,Germany
481,Noah Atubolu,"€ 2,308","€ 120,000","Jun 30, 2024",Freiburg,21,Starter,K,Germany
482,Mats Pannewig,"€ 2,308","€ 120,000","Jun 30, 2025",Bochum,18,Reserve,M,Germany
483,Matthias Köbbing,"€ 2,308","€ 120,000","Jun 30, 2025",Koln,26,Reserve,K,Germany
484,Max Finkgräfe,"€ 2,308","€ 120,000","Jun 30, 2025",Koln,19,Reserve,D,Germany
485,Tom Bischof,"€ 2,308","€ 120,000","Jun 30, 2025",Hoffenheim,18,Reserve,F,Germany
486,Yannik Keitel,"€ 2,308","€ 120,000","Jun 30, 2024",Freiburg,23,Reserve,M,Germany
487,Brajan Gruda,"€ 2,308","€ 120,000","Jun 30, 2026",Mainz,19,Starter,F,Germany
488,Aaron Zehnter,"€ 2,308","€ 120,000","Jun 30, 2024",Augsburg,18,Reserve,D,Germany
489,Bambasé Conté,"€ 2,308","€ 120,000","Jun 30, 2026",Hoffenheim,20,Reserve,F,Germany
490,Mehdi Loune,"€ 2,308","€ 120,000","Jun 30, 2025",Eintracht Frankfurt,19,Reserve,M,Germany
491,Merlin Röhl,"€ 2,308","€ 120,000","Jun 30, 2024",Freiburg,21,Reserve,M,Germany
492,Mert Kömür,"€ 2,308","€ 120,000","Jun 30, 2027",Augsburg,18,Reserve,F,Germany
493,Arne Engels,"€ 2,308","€ 120,000","Jun 30, 2027",Augsburg,19,Reserve,M,Belgium
494,Merveille Papela,"€ 2,308","€ 120,000","Jun 30, 2024",Mainz,22,Reserve,M,Germany
495,Florian Schock,"€ 2,308","€ 120,000","Jun 30, 2024",Stuttgart,22,Reserve,K,Germany
496,Frank Feller,"€ 2,308","€ 120,000","Jun 30, 2025",Heidenheim,19,Reserve,K,Germany
497,Seedy Jarju,"€ 2,308","€ 120,000","Jun 30, 2025",Heidenheim,18,Reserve,D,The Gambia
498,Frank Ronstadt,"€ 2,308","€ 120,000","Jun 30, 2024",Darmstadt,26,Reserve,D,Germany
499,Felix Lange,"€ 2,308","€ 120,000","Jun 30, 2025",Wolfsburg,19,Reserve,D,Germany
500,Aaron Seydel,"€ 2,308","€ 120,000","Jun 30, 2024",Darmstadt,27,Reserve,F,Germany
501,Fabio Torsiello,"€ 2,308","€ 120,000","Jun 30, 2026",Darmstadt,18,Reserve,F,Germany
502,Frederik Winther,"€ 2,308","€ 120,000","Jun 30, 2025",Augsburg,22,Reserve,D,Denmark
503,Anthony Rouault,"€ 2,308","€ 120,000","Jun 30, 2024",Stuttgart,22,Reserve,D,France
504,Silas Ostrzinski,"€ 2,308","€ 120,000","Jun 30, 2025",Borussia Dortmund,19,Reserve,K,Germany
505,Harpreet Ghotra,"€ 2,308","€ 120,000","Jun 30, 2024",Eintracht Frankfurt,20,Reserve,M,Germany
506,Mohammed Tolba,"€ 2,308","€ 120,000","Jun 30, 2025",Bochum,19,Reserve,D,Germany
507,Joshua Quarshie,"€ 2,308","€ 120,000","Jun 30, 2025",Hoffenheim,19,Reserve,D,Germany
508,Kenneth Schmidt,"€ 2,308","€ 120,000","Jun 30, 2024",Freiburg,21,Reserve,D,Germany
509,Kevin Sessa,"€ 2,308","€ 120,000","Jun 30, 2024",Heidenheim,23,Reserve,M,Germany
510,Moritz Nicolas,"€ 2,308","€ 120,000","Jun 30, 2026",Monchengladbach,25,Starter,K,Germany
511,Laurenz Dehl,"€ 2,308","€ 120,000","Jun 30, 2024",Union Berlin,21,Reserve,M,Germany
512,Lennard Maloney,"€ 2,308","€ 120,000","Jun 30, 2025",Heidenheim,23,Starter,M,United States
513,Alexander Nübel,,,"Jun 30, 2025",Bayern Munich,26,Reserve,K,Germany
514,Harry Kane,,,,,,,,
515,Manuel Neuer,,,,,,,,
516,Thomas Müller,,,,,,,,
517,Leroy Sané,,,,,,,,
518,Joshua Kimmich,,,,,,,,
519,Serge Gnabry,,,,,,,,
520,Leon Goretzka,,,,,,,,
521,Kingsley Coman,,,,,,,,
522,Matthijs de Ligt,,,,,,,,
523,Min-jae Kim,,,,,,,,
524,Alphonso Davies,,,,,,,,
525,Sébastien Haller,,,,,,,,
526,Dayot Upamecano,,,,,,,,
527,Timo Werner,,,,,,,,
528,Niklas Süle,,,,,,,,
529,Dani Olmo,,,,,,,,
530,Gregor Kobel,,,,,,,,
531,Konrad Laimer,,,,,,,,
532,Raphaël Guerreiro,,,,,,,,
533,Noussair Mazraoui,,,,,,,,
534,Emre Can,,,,,,,,
535,David Raum,,,,,,,,
536,Matthias Ginter,,,,,,,,
537,Marcel Sabitzer,,,,,,,,
538,Thomas Meunier,,,,,,,,
539,Eric Maxim Choupo-Moting,,,,,,,,
540,Julian Brandt,,,,,,,,
541,Mats Hummels,,,,,,,,
542,Marco Reus,,,,,,,,
543,Willi Orbán,,,,,,,,
544,Yussuf Poulsen,,,,,,,,
545,Emil Forsberg,,,,,,,,
546,Felix Nmecha,,,,,,,,
547,Niclas Füllkrug,,,,,,,,
548,Alejandro Grimaldo,,,,,,,,
549,Patrik Schick,,,,,,,,
550,Donyell Malen,,,,,,,,
551,Loïs Openda,,,,,,,,
552,Péter Gulácsi,,,,,,,,
553,Maximilian Arnold,,,,,,,,
554,Lukas Klostermann,,,,,,,,
555,Exequiel Palacios,,,,,,,,
556,Jamal Musiala,,,,,,,,
557,Edmond Tapsoba,,,,,,,,
558,Karim Adeyemi,,,,,,,,
559,Alexander Nübel,,,,,,,,
560,Alassane Plea,,,,,,,,
561,Lovro Majer,,,,,,,,
562,Nico Schlotterbeck,,,,,,,,
563,Ramy Bensebaini,,,,,,,,
564,Granit Xhaka,,,,,,,,
565,Jonas Hofmann,,,,,,,,
566,Florian Neuhaus,,,,,,,,
567,Xaver Schlager,,,,,,,,
568,Mathys Tel,,,,,,,,
569,Andrej Kramaric,,,,,,,,
570,Koen Casteels,,,,,,,,
571,Jeremie Frimpong,,,,,,,,
572,Julian Weigl,,,,,,,,
573,Diadié Samassékou,,,,,,,,
574,Benjamin Henrichs,,,,,,,,
575,Salih Özcan,,,,,,,,
576,Leonardo Bonucci,,,,,,,,
577,Maxence Lacroix,,,,,,,,
578,Yannick Gerhardt,,,,,,,,
579,Kevin Trapp,,,,,,,,
580,Benjamin Sesko,,,,,,,,
581,Christoph Kramer,,,,,,,,
582,Oliver Baumann,,,,,,,,
583,Mario Götze,,,,,,,,
584,Amadou Haidara,,,,,,,,
585,Nico Elvedi,,,,,,,,
586,Mergim Berisha,,,,,,,,
587,Luca Waldschmidt,,,,,,,,
588,Marius Wolf,,,,,,,,
589,Ozan Kabak,,,,,,,,
590,Youssoufa Moukoko,,,,,,,,
591,Jonas Omlin,,,,,,,,
592,Castello Lukeba,,,,,,,,
593,Jamie Bynoe-Gittens,,,,,,,,
594,Dan-Axel Zagadou,,,,,,,,
595,Nadiem Amiri,,,,,,,,
596,Mattias Svanberg,,,,,,,,
597,Jonathan Tah,,,,,,,,
598,Robin Gosens,,,,,,,,
599,Aster Vranckx,,,,,,,,
600,Sebastiaan Bornauw,,,,,,,,
601,Ellyes Skhiri,,,,,,,,
602,Brenden Aaronson,,,,,,,,
603,Ihlas Bebou,,,,,,,,
604,Lukas Hradecky,,,,,,,,
605,Lucas Tousart,,,,,,,,
606,Giovanni Reyna,,,,,,,,
607,Santos Borré,,,,,,,,
608,Florian Grillitsch,,,,,,,,
609,Jiri Pavlenka,,,,,,,,
610,Kevin Kampl,,,,,,,,
611,Fábio Carvalho,,,,,,,,
612,Leonardo Bittencourt,,,,,,,,
613,Christoph Baumgartner,,,,,,,,
614,Hiroki Ito,,,,,,,,
615,Naby Keïta,,,,,,,,
616,Florian Wirtz,,,,,,,,
617,Sebastian Rode,,,,,,,,
618,Lucas Alario,,,,,,,,
619,Robin Koch,,,,,,,,
620,Kevin Mbabu,,,,,,,,
621,Kevin Volland,,,,,,,,
622,Luca Netz,,,,,,,,
623,Kevin Vogt,,,,,,,,
624,Stefan Lainer,,,,,,,,
625,Marvin Ducksch,,,,,,,,
626,Nicolas Seiwald,,,,,,,,
627,Serhou Guirassy,,,,,,,,
628,Dennis Geiger,,,,,,,,
629,Ludovic Ajorque,,,,,,,,
630,Wout Weghorst,,,,,,,,
631,Maximilian Wöber,,,,,,,,
632,Maximilian Philipp,,,,,,,,
633,Marius Bülter,,,,,,,,
634,Piero Hincapié,,,,,,,,
635,Julian Ryerson,,,,,,,,
636,Jonas Wind,,,,,,,,
637,Marvin Friedrich,,,,,,,,
638,Attila Szalai,,,,,,,,
639,Victor Boniface,,,,,,,,
640,Sven Ulreich,,,,,,,,
641,Jens Petter Hauge,,,,,,,,
642,Pavel Kaderabek,,,,,,,,
643,Patrick Wimmer,,,,,,,,
644,Lukas Nmecha,,,,,,,,
645,Mohamed Simakan,,,,,,,,
646,Philipp Max,,,,,,,,
647,Mitchell Weiser,,,,,,,,
648,Edimilson Fernandes,,,,,,,,
649,Hannes Wolf,,,,,,,,
650,Kouadio Koné,,,,,,,,
651,Bouna Sarr,,,,,,,,
652,Joakim Maehle,,,,,,,,
653,Anton Stach,,,,,,,,
654,Ko Itakura,,,,,,,,
655,Ivan Ordets,,,,,,,,
656,Jae-sung Lee,,,,,,,,
657,Josip Stanisic,,,,,,,,
658,Silvan Widmer,,,,,,,,
659,Adam Hlozek,,,,,,,,
660,Nicolai Rapp,,,,,,,,
661,David Datro Fofana,,,,,,,,
662,Robert Skov,,,,,,,,
663,El Chadaille Bitshiabu,,,,,,,,
664,Ridle Baku,,,,,,,,
665,Nathan Tella,,,,,,,,
666,Mark Uth,,,,,,,,
667,Dominik Kohr,,,,,,,,
668,Stefan Bell,,,,,,,,
669,Jordan Siebatcheu,,,,,,,,
670,Alex Kral,,,,,,,,
671,Karim Onisiwo,,,,,,,,
672,Rogério,,,,,,,,
673,Patrick Herrmann,,,,,,,,
674,Anthony Caci,,,,,,,,
675,Leandro Barreiro Martins,,,,,,,,
676,Odilon Kossounou,,,,,,,,
677,Ilaix Moriba,,,,,,,,
678,Dawid Kownacki,,,,,,,,
679,Josip Juranovic,,,,,,,,
680,Vaclav Cerny,,,,,,,,
681,Robert Andrich,,,,,,,,
682,Omar Marmoush,,,,,,,,
683,Xavi Simons,,,,,,,,
684,Kevin Akpoguma,,,,,,,,
685,Daniel Peretz,,,,,,,,
686,Genki Haraguchi,,,,,,,,
687,Amin Sarr,,,,,,,,
688,Robin Zentner,,,,,,,,
689,Felix Uduokhai,,,,,,,,
690,Robin Knoche,,,,,,,,
691,Janis Blaswich,,,,,,,,
692,Japhet Tanganga,,,,,,,,
693,Jeffrey Gouweleeuw,,,,,,,,
694,Tiago Tomás,,,,,,,,
695,Jérôme Roussillon,,,,,,,,
696,John Anthony Brooks,,,,,,,,
697,Jonathan Burkardt,,,,,,,,
698,Davie Selke,,,,,,,,
699,Tuta,,,,,,,,
700,Tony Jantschke,,,,,,,,
701,Niklas Stark,,,,,,,,
702,Makoto Hasebe,,,,,,,,
703,Florian Kainz,,,,,,,,
704,Moritz Jenz,,,,,,,,
705,Tom Krauß,,,,,,,,
706,Elvis Rexhbecaj,,,,,,,,
707,Sheraldo Becker,,,,,,,,
